kuu,turunduskanal,kliente,tellimusi,kogukaive
2024-03-01 00:00:00,tiktok,13,18,2451.62
2024-03-01 00:00:00,FB,5,6,2286.41
2024-03-01 00:00:00,Google Organic,4,7,2135.55
2024-03-01 00:00:00,Facebook,5,6,1868.80
2024-04-01 00:00:00,google_organic,71,77,21503.36
2024-04-01 00:00:00,facebook_ads,52,68,17539.46
2024-04-01 00:00:00,direct,52,58,17035.70
2024-04-01 00:00:00,Tundmatu / kanal puudub,13,55,14293.22
2024-04-01 00:00:00,email_campaign,33,38,12875.55
2024-04-01 00:00:00,google_ads,25,34,11622.08
2024-04-01 00:00:00,instagram,23,25,7942.45
2024-04-01 00:00:00,tiktok,16,20,5165.66
2024-04-01 00:00:00,Google Organic,7,8,1181.71
2024-04-01 00:00:00,Google,6,8,1082.16
2024-05-01 00:00:00,google_organic,69,73,20844.00
2024-05-01 00:00:00,direct,61,63,17593.90
2024-05-01 00:00:00,facebook_ads,50,63,16685.57
2024-05-01 00:00:00,Tundmatu / kanal puudub,9,52,14755.60
2024-05-01 00:00:00,google_ads,32,35,11396.16
2024-05-01 00:00:00,instagram,31,38,10997.24
2024-05-01 00:00:00,email_campaign,26,34,10481.18
2024-05-01 00:00:00,tiktok,18,20,3860.34
2024-05-01 00:00:00,Google Organic,4,7,2731.31
2024-05-01 00:00:00,Google,5,5,745.11
2024-06-01 00:00:00,facebook_ads,65,86,27956.09
2024-06-01 00:00:00,Tundmatu / kanal puudub,12,79,27591.70
2024-06-01 00:00:00,google_organic,77,91,21372.49
2024-06-01 00:00:00,direct,69,78,18923.62
2024-06-01 00:00:00,email_campaign,42,46,13536.57
2024-06-01 00:00:00,google_ads,35,39,9936.17
2024-06-01 00:00:00,tiktok,22,22,8110.60
2024-06-01 00:00:00,instagram,23,30,6561.76
2024-06-01 00:00:00,instagram_ads,6,6,2727.76
2024-06-01 00:00:00,Google Organic,6,11,2516.96
2024-06-01 00:00:00,google organic,5,6,1998.01
2024-07-01 00:00:00,google_organic,99,106,28172.74
2024-07-01 00:00:00,facebook_ads,53,82,25997.79
2024-07-01 00:00:00,direct,85,92,25179.55
2024-07-01 00:00:00,Tundmatu / kanal puudub,15,67,16834.31
2024-07-01 00:00:00,email_campaign,42,48,15864.37
2024-07-01 00:00:00,google_ads,26,30,12037.93
2024-07-01 00:00:00,instagram,26,31,7169.88
2024-07-01 00:00:00,tiktok,12,16,3675.66
2024-07-01 00:00:00,google organic,7,7,3516.06
2024-07-01 00:00:00,Google Organic,5,8,2401.10
2024-07-01 00:00:00,Google,8,9,2153.13
2024-08-01 00:00:00,google_organic,91,98,24571.81
2024-08-01 00:00:00,direct,65,75,23528.95
2024-08-01 00:00:00,facebook_ads,61,86,22977.93
2024-08-01 00:00:00,Tundmatu / kanal puudub,13,63,21112.07
2024-08-01 00:00:00,email_campaign,38,42,13178.31
2024-08-01 00:00:00,instagram,33,39,12019.98
2024-08-01 00:00:00,google_ads,35,41,10641.98
2024-08-01 00:00:00,tiktok,19,24,4925.00
2024-08-01 00:00:00,Google Organic,10,12,3843.09
2024-08-01 00:00:00,Google,6,8,2137.20
2024-08-01 00:00:00,Facebook,6,7,1390.46
2024-09-01 00:00:00,facebook_ads,48,74,20541.39
2024-09-01 00:00:00,google_organic,59,68,18718.28
2024-09-01 00:00:00,Tundmatu / kanal puudub,14,49,15292.39
2024-09-01 00:00:00,direct,51,56,14860.25
2024-09-01 00:00:00,email_campaign,41,50,14621.92
2024-09-01 00:00:00,instagram,24,26,6498.76
2024-09-01 00:00:00,tiktok,14,20,6060.49
2024-09-01 00:00:00,google_ads,17,18,3820.22
2024-09-01 00:00:00,Google Organic,7,8,2728.33
2024-09-01 00:00:00,Google,6,7,1770.23
2024-10-01 00:00:00,google_organic,79,89,32353.14
2024-10-01 00:00:00,facebook_ads,38,49,17480.81
2024-10-01 00:00:00,direct,49,55,17393.32
2024-10-01 00:00:00,Tundmatu / kanal puudub,15,49,13499.65
2024-10-01 00:00:00,instagram,22,28,12035.10
2024-10-01 00:00:00,email_campaign,39,42,10936.47
2024-10-01 00:00:00,google_ads,22,24,8523.05
2024-10-01 00:00:00,tiktok,17,22,5738.13
2024-10-01 00:00:00,Google Organic,6,10,3508.93
2024-10-01 00:00:00,google organic,6,7,2296.17
2024-11-01 00:00:00,facebook_ads,42,64,16726.51
2024-11-01 00:00:00,Tundmatu / kanal puudub,9,53,16715.91
2024-11-01 00:00:00,direct,65,66,16488.38
2024-11-01 00:00:00,google_organic,66,72,13834.38
2024-11-01 00:00:00,email_campaign,28,35,11585.42
2024-11-01 00:00:00,instagram,26,31,8478.16
2024-11-01 00:00:00,tiktok,14,15,7458.62
2024-11-01 00:00:00,google_ads,22,28,6892.34
2024-11-01 00:00:00,Google Organic,4,6,2475.14
2024-11-01 00:00:00,Google,5,5,945.57
2024-12-01 00:00:00,facebook_ads,65,106,34178.78
2024-12-01 00:00:00,google_organic,96,111,33572.86
2024-12-01 00:00:00,instagram,40,50,21925.75
2024-12-01 00:00:00,Tundmatu / kanal puudub,12,67,21516.59
2024-12-01 00:00:00,direct,55,56,17365.15
2024-12-01 00:00:00,email_campaign,50,61,14722.80
2024-12-01 00:00:00,google_ads,38,39,10632.89
2024-12-01 00:00:00,tiktok,22,22,6044.26
2024-12-01 00:00:00,Google,7,7,2215.81
2024-12-01 00:00:00,Google Organic,4,6,2160.09
2024-12-01 00:00:00,Instagram,4,5,1683.03
2024-12-01 00:00:00,google,5,5,928.96
2025-01-01 00:00:00,google_organic,52,57,19789.00
2025-01-01 00:00:00,instagram,29,32,15401.48
2025-01-01 00:00:00,facebook_ads,39,48,13563.86
2025-01-01 00:00:00,direct,46,48,12445.51
2025-01-01 00:00:00,Tundmatu / kanal puudub,6,44,10690.65
2025-01-01 00:00:00,google_ads,22,27,9028.05
2025-01-01 00:00:00,email_campaign,23,29,6750.71
2025-01-01 00:00:00,tiktok,16,16,3826.80
2025-01-01 00:00:00,Google Organic,4,7,1790.73
2025-02-01 00:00:00,google_organic,72,76,19183.87
2025-02-01 00:00:00,facebook_ads,39,52,13826.21
2025-02-01 00:00:00,direct,45,49,13701.04
2025-02-01 00:00:00,Tundmatu / kanal puudub,11,43,11836.81
2025-02-01 00:00:00,instagram,25,32,10131.40
2025-02-01 00:00:00,email_campaign,26,31,8962.22
2025-02-01 00:00:00,tiktok,17,21,5403.99
2025-02-01 00:00:00,google_ads,9,11,3651.18
2025-02-01 00:00:00,Google Organic,6,10,3124.66
2025-02-01 00:00:00,google organic,5,6,1254.18
