kuu,turunduskanal,tellimusi,kogukaive,eelmise_kuu_kaive,muutus_eurodes,muutus_protsent
2024-11-01 00:00:00,google_ads,28,6892.34,8523.05,-1630.71,-19.1
2024-12-01 00:00:00,google_ads,39,10632.89,6892.34,3740.55,54.3
2025-01-01 00:00:00,google_ads,27,9028.05,10632.89,-1604.84,-15.1
2025-02-01 00:00:00,google_ads,11,3651.18,9028.05,-5376.87,-59.6
2023-01-01 00:00:00,google_organic,46,17381.51,null,null,null
2023-02-01 00:00:00,google_organic,52,14739.79,17381.51,-2641.72,-15.2
2023-03-01 00:00:00,google_organic,78,24960.56,14739.79,10220.77,69.3
2023-04-01 00:00:00,google_organic,67,17702.79,24960.56,-7257.77,-29.1
2023-05-01 00:00:00,google_organic,80,23686.03,17702.79,5983.24,33.8
2023-06-01 00:00:00,google_organic,84,27562.23,23686.03,3876.20,16.4
2023-07-01 00:00:00,google_organic,75,22836.01,27562.23,-4726.22,-17.1
2023-08-01 00:00:00,google_organic,94,26898.20,22836.01,4062.19,17.8
2023-09-01 00:00:00,google_organic,58,13727.76,26898.20,-13170.44,-49.0
2023-10-01 00:00:00,google_organic,86,26256.35,13727.76,12528.59,91.3
2023-11-01 00:00:00,google_organic,63,21246.68,26256.35,-5009.67,-19.1
2023-12-01 00:00:00,google_organic,89,29428.04,21246.68,8181.36,38.5
2024-01-01 00:00:00,google_organic,63,20686.10,29428.04,-8741.94,-29.7
2024-02-01 00:00:00,google_organic,69,22423.37,20686.10,1737.27,8.4
2024-03-01 00:00:00,google_organic,65,17581.92,22423.37,-4841.45,-21.6
2024-04-01 00:00:00,google_organic,77,21503.36,17581.92,3921.44,22.3
2024-05-01 00:00:00,google_organic,73,20844.00,21503.36,-659.36,-3.1
2024-06-01 00:00:00,google_organic,91,21372.49,20844.00,528.49,2.5
2024-07-01 00:00:00,google_organic,106,28172.74,21372.49,6800.25,31.8
2024-08-01 00:00:00,google_organic,98,24571.81,28172.74,-3600.93,-12.8
2024-09-01 00:00:00,google_organic,68,18718.28,24571.81,-5853.53,-23.8
2024-10-01 00:00:00,google_organic,89,32353.14,18718.28,13634.86,72.8
2024-11-01 00:00:00,google_organic,72,13834.38,32353.14,-18518.76,-57.2
2024-12-01 00:00:00,google_organic,111,33572.86,13834.38,19738.48,142.7
2025-01-01 00:00:00,google_organic,57,19789.00,33572.86,-13783.86,-41.1
2025-02-01 00:00:00,google_organic,76,19183.87,19789.00,-605.13,-3.1
2023-01-01 00:00:00,instagram,18,5460.21,null,null,null
2023-02-01 00:00:00,instagram,25,6405.20,5460.21,944.99,17.3
2023-03-01 00:00:00,instagram,30,5453.26,6405.20,-951.94,-14.9
2023-04-01 00:00:00,instagram,29,9171.44,5453.26,3718.18,68.2
2023-05-01 00:00:00,instagram,24,6339.51,9171.44,-2831.93,-30.9
2023-06-01 00:00:00,instagram,45,13054.17,6339.51,6714.66,105.9
2023-07-01 00:00:00,instagram,47,11315.18,13054.17,-1738.99,-13.3
2023-08-01 00:00:00,instagram,33,10646.93,11315.18,-668.25,-5.9
2023-09-01 00:00:00,instagram,28,10421.64,10646.93,-225.29,-2.1
2023-10-01 00:00:00,instagram,27,5415.51,10421.64,-5006.13,-48.0
2023-11-01 00:00:00,instagram,26,7130.36,5415.51,1714.85,31.7
2023-12-01 00:00:00,instagram,38,10957.46,7130.36,3827.10,53.7
2024-01-01 00:00:00,instagram,21,6437.32,10957.46,-4520.14,-41.3
2024-02-01 00:00:00,instagram,23,6612.48,6437.32,175.16,2.7
2024-03-01 00:00:00,instagram,43,13279.42,6612.48,6666.94,100.8
2024-04-01 00:00:00,instagram,25,7942.45,13279.42,-5336.97,-40.2
2024-05-01 00:00:00,instagram,38,10997.24,7942.45,3054.79,38.5
2024-06-01 00:00:00,instagram,30,6561.76,10997.24,-4435.48,-40.3
2024-07-01 00:00:00,instagram,31,7169.88,6561.76,608.12,9.3
2024-08-01 00:00:00,instagram,39,12019.98,7169.88,4850.10,67.6
2024-09-01 00:00:00,instagram,26,6498.76,12019.98,-5521.22,-45.9
2024-10-01 00:00:00,instagram,28,12035.10,6498.76,5536.34,85.2
2024-11-01 00:00:00,instagram,31,8478.16,12035.10,-3556.94,-29.6
2024-12-01 00:00:00,instagram,50,21925.75,8478.16,13447.59,158.6
2025-01-01 00:00:00,instagram,32,15401.48,21925.75,-6524.27,-29.8
2025-02-01 00:00:00,instagram,32,10131.40,15401.48,-5270.08,-34.2
2024-12-01 00:00:00,Instagram,5,1683.03,null,null,null
2024-06-01 00:00:00,instagram_ads,6,2727.76,null,null,null
2023-01-01 00:00:00,tiktok,14,3291.33,null,null,null
2023-02-01 00:00:00,tiktok,11,2701.03,3291.33,-590.30,-17.9
2023-03-01 00:00:00,tiktok,16,3489.24,2701.03,788.21,29.2
2023-04-01 00:00:00,tiktok,21,7362.32,3489.24,3873.08,111.0
2023-05-01 00:00:00,tiktok,13,4501.63,7362.32,-2860.69,-38.9
2023-06-01 00:00:00,tiktok,17,5377.43,4501.63,875.80,19.5
2023-07-01 00:00:00,tiktok,18,5361.30,5377.43,-16.13,-0.3
2023-08-01 00:00:00,tiktok,16,6514.88,5361.30,1153.58,21.5
2023-09-01 00:00:00,tiktok,14,2354.54,6514.88,-4160.34,-63.9
2023-10-01 00:00:00,tiktok,14,3181.30,2354.54,826.76,35.1
2023-11-01 00:00:00,tiktok,17,5840.92,3181.30,2659.62,83.6
2023-12-01 00:00:00,tiktok,20,5256.84,5840.92,-584.08,-10.0
2024-01-01 00:00:00,tiktok,19,5218.95,5256.84,-37.89,-0.7
2024-02-01 00:00:00,tiktok,15,4119.86,5218.95,-1099.09,-21.1
2024-03-01 00:00:00,tiktok,18,2451.62,4119.86,-1668.24,-40.5
2024-04-01 00:00:00,tiktok,20,5165.66,2451.62,2714.04,110.7
2024-05-01 00:00:00,tiktok,20,3860.34,5165.66,-1305.32,-25.3
2024-06-01 00:00:00,tiktok,22,8110.60,3860.34,4250.26,110.1
2024-07-01 00:00:00,tiktok,16,3675.66,8110.60,-4434.94,-54.7
2024-08-01 00:00:00,tiktok,24,4925.00,3675.66,1249.34,34.0
2024-09-01 00:00:00,tiktok,20,6060.49,4925.00,1135.49,23.1
2024-10-01 00:00:00,tiktok,22,5738.13,6060.49,-322.36,-5.3
2024-11-01 00:00:00,tiktok,15,7458.62,5738.13,1720.49,30.0
2024-12-01 00:00:00,tiktok,22,6044.26,7458.62,-1414.36,-19.0
2025-01-01 00:00:00,tiktok,16,3826.80,6044.26,-2217.46,-36.7
2025-02-01 00:00:00,tiktok,21,5403.99,3826.80,1577.19,41.2
2023-01-01 00:00:00,Tundmatu / kanal puudub,32,9294.60,null,null,null
2023-02-01 00:00:00,Tundmatu / kanal puudub,31,8249.21,9294.60,-1045.39,-11.2
2023-03-01 00:00:00,Tundmatu / kanal puudub,33,6122.06,8249.21,-2127.15,-25.8
2023-04-01 00:00:00,Tundmatu / kanal puudub,43,13512.20,6122.06,7390.14,120.7
2023-05-01 00:00:00,Tundmatu / kanal puudub,42,8634.86,13512.20,-4877.34,-36.1
2023-06-01 00:00:00,Tundmatu / kanal puudub,67,18870.10,8634.86,10235.24,118.5
2023-07-01 00:00:00,Tundmatu / kanal puudub,58,18114.52,18870.10,-755.58,-4.0
2023-08-01 00:00:00,Tundmatu / kanal puudub,49,12222.79,18114.52,-5891.73,-32.5
2023-09-01 00:00:00,Tundmatu / kanal puudub,48,14856.20,12222.79,2633.41,21.5
2023-10-01 00:00:00,Tundmatu / kanal puudub,39,10877.77,14856.20,-3978.43,-26.8
2023-11-01 00:00:00,Tundmatu / kanal puudub,63,18557.96,10877.77,7680.19,70.6
2023-12-01 00:00:00,Tundmatu / kanal puudub,60,18123.73,18557.96,-434.23,-2.3
2024-01-01 00:00:00,Tundmatu / kanal puudub,38,9905.66,18123.73,-8218.07,-45.3
2024-02-01 00:00:00,Tundmatu / kanal puudub,57,15860.11,9905.66,5954.45,60.1
2024-03-01 00:00:00,Tundmatu / kanal puudub,53,14615.29,15860.11,-1244.82,-7.8
2024-04-01 00:00:00,Tundmatu / kanal puudub,55,14293.22,14615.29,-322.07,-2.2
2024-05-01 00:00:00,Tundmatu / kanal puudub,52,14755.60,14293.22,462.38,3.2
2024-06-01 00:00:00,Tundmatu / kanal puudub,79,27591.70,14755.60,12836.10,87.0
2024-07-01 00:00:00,Tundmatu / kanal puudub,67,16834.31,27591.70,-10757.39,-39.0
2024-08-01 00:00:00,Tundmatu / kanal puudub,63,21112.07,16834.31,4277.76,25.4
2024-09-01 00:00:00,Tundmatu / kanal puudub,49,15292.39,21112.07,-5819.68,-27.6
2024-10-01 00:00:00,Tundmatu / kanal puudub,49,13499.65,15292.39,-1792.74,-11.7
2024-11-01 00:00:00,Tundmatu / kanal puudub,53,16715.91,13499.65,3216.26,23.8
2024-12-01 00:00:00,Tundmatu / kanal puudub,67,21516.59,16715.91,4800.68,28.7
2025-01-01 00:00:00,Tundmatu / kanal puudub,44,10690.65,21516.59,-10825.94,-50.3
2025-02-01 00:00:00,Tundmatu / kanal puudub,43,11836.81,10690.65,1146.16,10.7
